year,John
1910,11479
1911,13469
1912,24662
1913,29401
1914,38051
1915,47716
1916,50216
1917,52053
1918,56772
1919,53775
1920,57148
1921,58466
1922,57519
1923,57767
1924,59409
1925,57539
1926,56456
1927,56354
1928,54146
1929,52475
1930,52816
1931,48716
1932,48874
1933,46406
1934,46943
1935,47665
1936,47843
1937,48918
1938,50680
1939,51200
1940,54951
1941,57691
1942,66223
1943,69103
1944,66731
1945,66261
1946,79427
1947,88472
1948,82974
1949,81311
1950,79562
1951,81728
1952,83287
1953,80271
1954,81328
1955,80271
1956,80955
1957,79186
1958,76163
1959,76566
1960,76264
1961,80172
1962,78654
1963,78851
1964,82771
1965,71740
1966,65250
1967,61861
1968,61162
1969,59021
1970,58784
1971,51754
1972,43358
1973,39357
1974,37831
1975,35282
1976,34160
1977,34369
1978,34190
1979,35600
1980,35472
1981,35020
1982,34897
1983,33369
1984,32820
1985,31681
1986,30369
1987,29711
1988,29539
1989,29941
1990,29125
1991,27828
1992,26280
1993,25018
1994,24198
1995,23255
1996,22193
1997,21391
1998,20630
1999,20354
2000,20106
2001,18893
2002,17460
2003,17236
2004,16502
2005,15789
2006,15177
2007,14433
2008,13323
2009,12124
2010,11560
2011,11058
2012,10628
2013,10716
2014,10693
2015,10398
2016,10034
2017,9503
2018,9170
2019,8813
2020,8180
